渠道组	KA客户	客户	对方单位名称
商超便利	KA华东罗森	华东-罗森	上海罗森便利有限公司
商超便利	KA永辉	永辉	福建云通供应链有限公司
新渠道	KA德克士	德克士	天津顶连食品有限公司；天津顶连食品有限公司上海分公司
商超便利	KA好特卖	好特卖	上海好特卖惠聚贸易有限公司
商超便利	KA浙江易捷	易捷	中国石化销售股份有限公司浙江石油分公司
饰品潮玩	KA如苔文具	新华书店	浙江如苔文化科技有限公司
饰品潮玩	KA酷乐潮玩	酷乐潮玩	宁波酷乐潮玩潮流百货有限公司
饰品潮玩	KA酷乐潮玩	KA酷乐潮玩	宁波酷乐潮玩潮流百货有限公司
饰品潮玩	KA酷乐潮玩（购销）	KA酷乐潮玩（购销）	宁波酷乐潮玩潮流百货有限公司
零食	KA深圳品味	零食有鸣	深圳品味一族工贸有限公司
新渠道	KA上海寰越	a2	上海寰越电子商务有限公司
新渠道	KA中国农垦	a2	中国农垦控股上海有限公司
新渠道	KA中国农垦	a2	中国农垦控股上海有限公司
新渠道	KA逸道盛	a2	上海逸道盛实业有限公司
商超便利	KA上海迦月	7-Eleven	上海迦月贸易有限公司
商超便利	KA浙江驰骋	左邻右舍/生活驿站	浙江驰骋物流有限公司
饰品潮玩	KA番茄口袋	番茄口袋	上海番茄口袋电子商务有限公司
饰品潮玩	KA浙江凯蓝	TGP/伶俐	浙江凯畔商贸有限公司，浙江盛伶商贸有限公司
零食	KA万辰集团	万辰	南京万兴商业管理有限公司,南京万好供应链管理有限公司,南京万优供应链管理有限公司,南京万昌供应链管理有限公司,南京万灿供应链管理有限公司,泰州万拓供应链管理有限公司,南京万权商业管理有限公司,宁波巨库
商超便利	KA深圳旭展	沃尔玛	深圳市旭展文体用品有限公司
饰品潮玩	KA上海终为始	ATM潮玩艺术馆	上海终为始贸易有限公司
饰品潮玩	KALOFT	LOFT	乐瑚特商业管理（上海）有限公司
零食	KA鸣鸣很忙	鸣鸣很忙	湖南鸣鸣很忙商业连锁股份有限公司
商超便利	KA苏州乐业	华东大润发	苏州乐业贸易有限公司
饰品潮玩	KA三福海外	三福海外	广州市福榕瑞贸易有限公司
饰品潮玩	KA浙数潮品	球星卡社	浙数潮品科技(浙江)有限公司
饰品潮玩	KATOPTOY	TOPTOY	那是家大潮玩（广东）文化创意有限公司
饰品潮玩	KA晨光生活馆	晨光生活馆	晨光生活馆企业管理有限公司
新渠道	KA奥卡普		奥卡普（上海）文化发展有限公司
新渠道	KA锅圈	锅圈	锅圈食品（上海）股份有限公司
商超便利	KA新天地超市	新天地	沈阳新天地超市连锁经营有限公司
商超便利	KA深圳旭展	沃尔玛	深圳市旭展文体用品有限公司
商超便利	KA沃尔玛	沃尔玛	沃尔玛（中国）投资有限公司
饰品潮玩	KA终为始	上影影城	上海终为始贸易有限公司
零食	KA万辰集团	万辰	福建万辰食品集团股份有限公司南京分公司
新渠道	KA上海铂泫	高铁	上海铂泫贸易有限公司
饰品潮玩	KA畹町（购销）	畹町	宁波热风企业管理有限公司
饰品潮玩	KA广州盟客	KKV	东莞市盟客供应链科技有限公司
商超便利	KA新佳宜	新佳宜	湖南新佳宜商贸有限公司
商超便利	KA比优特	比优特	真市美供应链（沈阳）有限公司
饰品潮玩	KA泡泡吧	泡泡吧	宁波旭歌贸易有限公司
商超便利	KA壹度便利	壹度便利	安徽优壹达供应链有限公司
商超便利	KA麦德龙	麦德龙	麦德龙商业集团有限公司
新渠道	KA西西弗（购销）	西西弗	重庆西西弗文化传播有限公司
商超便利	空白	Ole	深圳市罗湖华润万家商业科技有限公司
商超便利	KA潍坊千佰佳	佳乐家	潍坊千佰佳商贸有限公司
商超便利	KA 山东童趣多	家家悦	山东童趣多儿童用品有限公司
商超便利	KA南京熙泽	朴朴超市/叮咚买...	南京煦泽科技有限公司
饰品潮玩	KA木本木	木本木	东阳市小木百货零售有限公司
饰品潮玩	KA三福百货	三福	福建三福服饰有限公司
商超便利	KA北京百望达	江苏7-11	北京百望达商贸有限公司
商超便利	KA上海逸刻	逸刻	上海逸刻新零售网络科技有限公司
零食	KA零食优选	零食优选	四川蜀之优供应链管理有限公司，陕西惠小优供应链管理有限公司，重庆零小优供应链管理有限公司，云南七号仓供应链管理有限公司，东莞市零小优供应链管理有限公司，贵州喆选供应链有限责任公司，湖北雨追供应链管理有
新渠道	KA上海追越	BALABALA	上海追越创意设计有限公司
新渠道	KA蜜雪冰城	蜜雪冰城	河南雪王商贸有限公司
商超便利	KA大连半人马	东北-罗森	大连半人马商贸有限公司
商超便利	KA青岛瑞诺祥优	山东利群	青岛瑞诺祥优商贸有限公司
零食	KA养馋记	养馋记	浙江养馋记供应链管理有限公司
新渠道	KA黄钻玩具仓	黄钻玩具仓	杭州黄钻文化科技有限公司
